song,artist,play_count,song_length,album,genre,track_year
Moonlight,Thriving Ivory,3,260.04,Through Yourself & Back Again,Rock,2010
Stupid Love (Vitaclub Warehouse Mix),Lady Gaga,3,220.800,Chromatica,Pop,2020
Lonely Street,Liz Phair,3,211.255,Soberish,Alternative,2021
Hey Lou,Liz Phair,3,162.191,Soberish,Alternative,2021
Soberish,Liz Phair,3,230.365,Soberish,Alternative,2021
Soul Sucker,Liz Phair,3,273.136,Soberish,Alternative,2021
Up And Down,Doja Cat,3,151.579,Planet Her,Pop,2021
Wonderful Wonderful,The Killers,3,309.507,Wonderful Wonderful (Deluxe),Alternative,2017
electricity,Switchfoot,3,278.207,interrobang,Alternative,2021
lost ‘cause,Switchfoot,3,225.023,interrobang,Alternative,2021
*✧,Coldplay,3,53.128,Music of the Spheres,Pop,2021
Just One Of Those Things,Tony Bennett,3,180.025,Love For Sale,Jazz,2021
Night And Day,Tony Bennett & Lady Gaga,3,222.437,Love For Sale,Jazz,2021
It's De-Lovely,Tony Bennett & Lady Gaga,3,173.504,Love For Sale,Jazz,2021
Do I Love You,Lady Gaga,3,288.367,Love For Sale,Jazz,2021
Lilith,Halsey,3,167.295,"If I Can’t Have Love, I Want Power",Alternative,2021
Alterlife,Rina Sawayama,3,244.993,Rina,Alternative,2017
Keep An Eye On Dan,ABBA,3,245.133,Voyage,Pop,2021
No Doubt About It,ABBA,3,176.678,Voyage,Pop,2021
INDUSTRY BABY,Lil Nas X & Jack Harlow,3,212.416,MONTERO,Hip-Hop/Rap,2021
THE ART OF REALIZATION,Lil Nas X,3,24.055,MONTERO,Pop,2021
VOID,Lil Nas X,3,248.476,MONTERO,Alternative,2021
Lioness,Daughtry,3,215.999,Dearly Beloved,Rock,2021
The Victim,Daughtry,3,221.098,Dearly Beloved,Rock,2021
Evil,Daughtry,3,211.733,Dearly Beloved,Rock,2021
Asylum,Daughtry,3,235.434,Dearly Beloved,Rock,2021
Last Christmas,Kelly Clarkson,3,189.637,When Christmas Comes Around...,Holiday,2021
Leave Your Life,Ed Sheeran,3,223.914,=,Pop,2021
The Joker And The Queen,Ed Sheeran,3,185.642,=,Pop,2021
Wasted Days,John Mellencamp & Bruce Springsteen,3,271.423,Wasted Days - Single,Rock,2021
24,sundial,3,133.951,24 - Single,Pop,2021
I Believe In Santa Claus,Rob Thomas & Abby Anderson,3,210.175,SOMETHING ABOUT CHRISTMAS TIME,Holiday,2020
A New York Christmas '21,Rob Thomas,3,290.815,SOMETHING ABOUT CHRISTMAS TIME,Holiday,2021
Sleigh Ride,Mariah Carey,3,159.242,Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),Holiday,2020
Selfish Girl,Charli XCX,3,194.536,CRASH,Pop,2022
Celia,Camila Cabello,3,153.167,Familia,Pop,2022
I'm a Ruin,Marina and The Diamonds,3,272.114,FROOT,Pop,2015
Congratulations,Simple Plan,3,196.951,Harder Than It Looks,Alternative,2022
Promise,MUNA,3,238.074,About U,Alternative,2016
SUMMER RENAISSANCE,Beyoncé,3,274.065,RENAISSANCE,Pop,2022
PURE/HONEY,Beyoncé,3,288.322,RENAISSANCE,Pop,2022
ALL UP IN YOUR MIND,Beyoncé,3,169.877,RENAISSANCE,Pop,2022
HEATED,Beyoncé,3,260.829,RENAISSANCE,Pop,2022
COZY,Beyoncé,3,210.442,RENAISSANCE,Pop,2022
AMERICA HAS A PROBLEM,Beyoncé,3,198.948,RENAISSANCE,Pop,2022
Stay Soft,Mitski,3,196.487,Laurel Hell,Alternative,2022
"Valentine, Texas",Mitski,3,155.016,Laurel Hell,Alternative,2022
The Only Heartbreaker,Mitski,3,184.598,Laurel Hell,Alternative,2021
That's Our Lamp,Mitski,3,145.031,Laurel Hell,Alternative,2022
Boys,Lizzo,3,172.648,Cuz I Love You (Super Deluxe),Pop,2018
Special,Lizzo,3,174.416,Special,Pop,2022
The 30th,Billie Eilish,3,216.491,Guitar Songs - Single,Alternative,2022
I Didn’t Just Come Here To Dance,Carly Rae Jepsen,3,219.962,Emotion (Deluxe Expanded Edition),Pop,2015
The Last Song of Your Life,P!nk,3,233.685,Hurts 2B Human,Pop,2019
Circle Game,P!nk,3,294.498,Hurts 2B Human,Pop,2019
Body Language,Carly Rae Jepsen,3,173.987,E•MO•TION: Side B,Pop,2016
Turning Tables,Adele,3,250.195,21,Pop,2011
Liar,Camila Cabello,3,208.491,Romance,Pop,2019
Chasing Thunder,Kesha,3,221.402,High Road,Pop,2020
Last Beautiful Girl,Matchbox Twenty,3,243.414,Mad Season (Deluxe Version),Pop,2000
Disease,Matchbox Twenty,3,219.73,More Than You Think You Are (Deluxe Version),Rock,2002
Love So Soft,Kelly Clarkson,3,172.477,Meaning of Life,Pop,2017
Unwind,P!nk,3,193.886,Try This,Pop,2003
Lay All Your Love On Me,ABBA,3,274.575,Gold: Greatest Hits,Pop,1992
Whataya Want from Me,Adam Lambert,3,227.369,For Your Entertainment (Deluxe Version),Pop,2009
Maybe It's Time,Bradley Cooper,3,159.358,A Star Is Born Soundtrack (Without Dialogue),Soundtrack,2018
All I See Is Gold,Bridgit Mendler,3,174.01,Hello My Name Is...,Pop,2012
The Fall Song,Bridgit Mendler,3,218.94,Hello My Name Is...,Pop,2012
Circle the Drain,Katy Perry,3,272.95,Teenage Dream,Pop,2010
Legendary Lovers,Katy Perry,3,224.281,PRISM (Deluxe Version),Pop,2013
I Kissed a Girl,Katy Perry,3,179.699,One of the Boys,Pop,2008
Irvine,Kelly Clarkson,3,525.885,My December,Pop,2007
Not Today,Kelly Clarkson,3,209.513,My December,Pop,2007
Impossible,Kelly Clarkson,3,203.453,All I Ever Wanted,Pop,2009
Everything Back But You,Avril Lavigne,3,182.16,The Best Damn Thing (Expanded Edition),Pop,2007
Wonderland,Taylor Swift,3,245.62,1989 (Deluxe Edition),Pop,2014
You Are In Love,Taylor Swift,3,267.168,1989 (Deluxe Edition),Pop,2014
All That Matters (The Beautiful Life),Kesha,3,217.71,Warrior (Expanded Edition),Pop,2012
Umbrella (feat. JAY Z),Rihanna,3,276.201,Good Girl Gone Bad: Reloaded,Pop,2007
Here With Me,Dido,3,255.489,No Angel,Pop,1999
Moves Like Jagger (feat. Christina Aguilera),Maroon 5,3,201.293,Hands All Over (Deluxe Edition),Pop,2010
Daylight,Maroon 5,3,226.208,Overexposed (Deluxe Version),Pop,2012
Under Pressure,Queen & David Bowie,3,246.317,"Greatest Hits I, II & III: The Platinum Collection",Rock,1981
Hometown Glory,Adele,3,271.278,19,Pop,2007
Every Woman in the World,Air Supply,3,208.05,Ultimate Air Supply,Pop,1980
One Lonely Night,REO Speedwagon,3,201.572,The Hits,Rock,1972
Cut Me Deep (feat. MAGIC!),Shakira,3,195.86,Shakira. (Expanded Edition),Pop,2014
Broken Glass,Sia,3,265.045,This Is Acting,Pop,2016
Fair Game,Sia,3,231.572,1000 Forms of Fear,Pop,2014
When There Was Me and You,Gabriella Montez,3,180.488,High School Musical,Soundtrack,2006
Hips Don't Lie (feat. Wyclef Jean),Shakira,3,218.151,"Oral Fixation, Vol. 2 (Expanded Edition)",Pop,2005
Pink Houses,John Cougar Mellencamp,3,283.724,Uh-Huh! (Bonus Track Edition),Rock,1997
Somethin' to Hide,Journey,3,207.795,The Essential Journey,Rock,1978
Won't Bite (feat. Smino),Doja Cat,3,195.256,Hot Pink,R&B/Soul,2019
"Sugar, We're Goin Down",Fall Out Boy,3,229.157,From Under the Cork Tree,Alternative,2005
Headlights (feat. Nate Ruess),Eminem,3,343.098,The Marshall Mathers LP2 (Deluxe),Hip-Hop/Rap,2013
The Hardest Art (feat. Kaela Sinclair),Switchfoot,3,253.19,Native Tongue,Alternative,2019
Bye Bye (feat. Ivy Adara),Gryffin,3,210.419,Gravity (Deluxe),Dance,2019
Out of My Mind (feat. ZOHARA),Gryffin,3,180.186,Gravity,Dance,2019
Just For a Moment (feat. Iselin),Gryffin,3,253.306,Gravity (Deluxe),Dance,2018
